occupation_code,occupation_title,category,primary_riasec,secondary_riasec,current_ai_exposure,current_career_resilience,current_ilonaa_ai_risk_index,expected_ai_risk_band,expected_ai_risk_score,expected_rationale,mismatch_current_minus_expected,absolute_mismatch,likely_responsible_factor,mismatch_explanation
"ONET-00036","Cybersecurity Engineer","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Cybersecurity Engineer (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00037","Solutions Architect","software/technology","Investigative","Realistic",42,67,40,"Medium",40,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Solutions Architect (software/technology) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00060","Product Manager","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Product Manager (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00061","Director of Operations","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Director of Operations (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00062","Chief of Staff","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Chief of Staff (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00063","Strategy Manager","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Strategy Manager (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00064","Business Unit Director","management/leadership","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Business Unit Director (management/leadership) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00129","Sales Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Sales Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00130","Partnerships Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Partnerships Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00131","Channel Manager","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Channel Manager (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00132","Customer Success Director","sales/customer success","Enterprising","Social",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Customer Success Director (sales/customer success) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00143","Creative Director","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Creative Director (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00144","Brand Manager","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Brand Manager (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00145","Communications Director","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Communications Director (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00146","Product Marketing Manager","marketing/creative","Artistic","Enterprising",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Product Marketing Manager (marketing/creative) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00154","HR Business Partner","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","HR Business Partner (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00155","Head of People","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Head of People (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."
"ONET-00156","Organizational Development Manager","HR/people operations","Conventional","Realistic",31,74,33,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",0,0,"AI disruption pressure likely underweighted","Organizational Development Manager (HR/people operations) appears underestimated by 0 points versus human-prior benchmark."
